Дата;Категория;Описание;Сумма
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
2025-11-07;Еда;Обед в кафе;450.0
2025-11-08;Развлечения;Кино;600.0
2025-11-08;Еда;Продукты;1200.0
2025-11-09;Транспорт;Такси;350.0
2025-11-09;Грузоперевозки;Мыло;1500.0
